time,open,high,low,close
1750896000,1.16833,1.16885,1.16828,1.16878
1750897800,1.16878,1.1689,1.16805,1.16823
1750899600,1.16823,1.16831,1.1668,1.16717
1750901400,1.16717,1.16878,1.16707,1.16861
1750903200,1.16861,1.16885,1.16825,1.16876
1750905000,1.16876,1.16953,1.16841,1.16907
1750906800,1.16907,1.17173,1.16893,1.16953
1750908600,1.16953,1.16959,1.16889,1.16946
1750910400,1.16946,1.16948,1.16817,1.16845
1750912200,1.16845,1.16864,1.16789,1.16802
1750914000,1.16802,1.1684,1.16759,1.16832
1750915800,1.16832,1.16859,1.16772,1.16851
1750917600,1.16851,1.16851,1.1672,1.16778
1750919400,1.16778,1.17002,1.16762,1.16994
1750921200,1.16994,1.17132,1.16919,1.17027
1750923000,1.17027,1.17122,1.16928,1.17101
1750924800,1.17101,1.17328,1.17066,1.17294
1750926600,1.17294,1.17447,1.17276,1.1728
1750928400,1.1728,1.17291,1.17128,1.17195
1750930200,1.17195,1.17279,1.17176,1.17252
1750932000,1.17252,1.17297,1.17198,1.17286
1750933800,1.17286,1.17307,1.17136,1.17152
1750935600,1.17152,1.1716,1.16961,1.17025
1750937400,1.17025,1.17051,1.16941,1.16951
1750939200,1.16951,1.17093,1.16904,1.1707
1750941000,1.1707,1.17127,1.16903,1.17067
1750942800,1.17067,1.17189,1.16946,1.17188
1750944600,1.17188,1.17208,1.17079,1.17169
1750946400,1.17169,1.17188,1.17063,1.171
1750948200,1.171,1.17188,1.17073,1.17087
1750950000,1.17087,1.17117,1.16905,1.1698
1750951800,1.1698,1.17173,1.1698,1.17167
1750953600,1.17167,1.1727,1.17103,1.1726
1750955400,1.1726,1.17402,1.17252,1.17298
1750957200,1.17298,1.1732,1.17208,1.1726
1750959000,1.1726,1.17288,1.1722,1.17251
1750960800,1.17251,1.17286,1.17199,1.17207
1750962600,1.17207,1.17236,1.17181,1.17207
1750964400,1.17207,1.17209,1.17046,1.17077
1750966200,1.17077,1.17123,1.17041,1.17046
1750968000,1.17047,1.17086,1.16949,1.16977
1750969800,1.16976,1.17025,1.16939,1.17012
1750971600,1.16919,1.17017,1.16901,1.16969
1750973400,1.16969,1.16978,1.16911,1.16967
1750975200,1.16967,1.16983,1.169,1.16939
1750977000,1.16939,1.16939,1.16808,1.16831
1750978800,1.16831,1.16946,1.16831,1.16935
1750980600,1.16935,1.16981,1.16891,1.16936
1750982400,1.16936,1.16977,1.16908,1.1693
1750984200,1.1693,1.16979,1.16885,1.16921
1750986000,1.16921,1.1696,1.16878,1.16914
1750987800,1.16914,1.17041,1.16863,1.17014
1750989600,1.17014,1.17054,1.16982,1.16989
1750991400,1.16989,1.17009,1.16863,1.16998
1750993200,1.16998,1.17094,1.16984,1.17074
1750995000,1.17074,1.17081,1.16958,1.16962
1750996800,1.16962,1.16981,1.16915,1.16927
1750998600,1.16927,1.16937,1.16853,1.16854
1751000400,1.16854,1.16907,1.16849,1.16899
1751002200,1.16899,1.16935,1.16864,1.16892
1751004000,1.16892,1.17022,1.16839,1.17006
1751005800,1.17006,1.17189,1.16969,1.17187
1751007600,1.17187,1.17267,1.17073,1.17124
1751009400,1.17124,1.17183,1.17108,1.17146
1751011200,1.17146,1.17261,1.17139,1.17149
1751013000,1.17149,1.17196,1.1709,1.17097
1751014800,1.17097,1.17104,1.17018,1.17085
1751016600,1.17085,1.17111,1.17052,1.17094
1751018400,1.17094,1.17153,1.17023,1.17033
1751020200,1.17033,1.1715,1.17015,1.17137
1751022000,1.17137,1.172,1.17134,1.17174
1751023800,1.17174,1.17201,1.17111,1.17143
1751025600,1.17143,1.17228,1.17032,1.17188
1751027400,1.17188,1.17493,1.17164,1.17468
1751029200,1.17468,1.17539,1.17238,1.1724
1751031000,1.1724,1.17327,1.17159,1.17273
1751032800,1.17273,1.17382,1.17193,1.17215
1751034600,1.17215,1.17265,1.17056,1.17183
1751036400,1.17183,1.17197,1.17117,1.17143
1751038200,1.17143,1.17301,1.17131,1.17238
1751040000,1.17238,1.17325,1.17201,1.17263
1751041800,1.17263,1.1727,1.17178,1.17225
1751043600,1.17225,1.17241,1.17096,1.1712
1751045400,1.1712,1.17137,1.16957,1.17019
1751047200,1.17019,1.17056,1.16906,1.16949
1751049000,1.16949,1.1702,1.16883,1.16994
1751050800,1.16994,1.17076,1.16989,1.17065
1751052600,1.17065,1.1709,1.17025,1.17067
1751054400,1.17067,1.17162,1.17061,1.17135
1751056200,1.17135,1.17209,1.17135,1.17159
1751230920,1.17205,1.17292,1.17187,1.17206
1751232720,1.17206,1.17309,1.17193,1.17263
1751234520,1.17263,1.17298,1.17218,1.17248
1751236320,1.17248,1.17335,1.17247,1.17335
1751238120,1.17335,1.17387,1.17315,1.17316
1751239920,1.17316,1.17338,1.17261,1.17267
1751241720,1.17267,1.17278,1.17225,1.17227
1751243520,1.17227,1.1724,1.17161,1.17175
1751245320,1.17175,1.17286,1.17154,1.17275
1751247120,1.17275,1.17347,1.17199,1.1725
1751248920,1.1725,1.17316,1.17185,1.17261
1751250720,1.17261,1.17275,1.17166,1.17181
1751252520,1.17181,1.1722,1.17155,1.17177
1751254320,1.17177,1.17179,1.1712,1.17153
1751256120,1.17153,1.17181,1.17138,1.17169
1751257920,1.17169,1.17322,1.17168,1.17314
1751259720,1.17314,1.17384,1.17298,1.17343
1751261520,1.17343,1.17375,1.17236,1.17257
1751263320,1.17257,1.17327,1.17211,1.17278
1751265120,1.17278,1.17507,1.17268,1.17373
1751266920,1.17373,1.17406,1.17259,1.17279
1751268720,1.17279,1.17357,1.17192,1.172
1751270520,1.172,1.1726,1.17139,1.1722
1751272320,1.1722,1.17303,1.17203,1.17276
1751274120,1.17276,1.17328,1.17235,1.173
1751275920,1.173,1.173,1.17176,1.17187
1751277720,1.17187,1.17238,1.17168,1.172
1751279520,1.172,1.17273,1.17178,1.17272
1751281320,1.17272,1.17315,1.17236,1.17286
1751283120,1.17286,1.17304,1.17232,1.17247
1751284920,1.17247,1.1725,1.17115,1.17128
1751286720,1.17128,1.1716,1.17079,1.17139
1751288520,1.17139,1.17203,1.1712,1.17187
1751290320,1.17187,1.17224,1.17122,1.17164
1751292120,1.17164,1.17379,1.17109,1.17366
1751293920,1.17366,1.17508,1.1729,1.17378
1751295720,1.17378,1.17549,1.17359,1.17482
1751297520,1.17482,1.17717,1.17435,1.17681
1751299320,1.17681,1.17697,1.17519,1.17565
1751301120,1.17565,1.17641,1.17491,1.17632
1751302920,1.17632,1.17705,1.17631,1.17663
1751304720,1.17663,1.1768,1.17605,1.17678
1751306520,1.17678,1.17796,1.17653,1.17793
1751308320,1.17793,1.17798,1.17724,1.17764
1751310120,1.17764,1.17793,1.17741,1.17756
1751311920,1.17756,1.17807,1.17737,1.17794
1751313720,1.17794,1.17865,1.17789,1.17849
1751315520,1.17849,1.17883,1.17798,1.17877
1751317200,1.17814,1.17833,1.17748,1.17772
1751319000,1.17772,1.17821,1.17743,1.17812
1751320800,1.17812,1.17887,1.1778,1.17887
1751322600,1.17887,1.17906,1.17847,1.17856
1751324400,1.17856,1.17875,1.17838,1.17849
1751326200,1.17849,1.17873,1.17836,1.17864
1751328000,1.17864,1.17945,1.17862,1.17908
1751329800,1.17908,1.17978,1.17908,1.17975
1751331600,1.17975,1.18074,1.17924,1.17938
1751333400,1.17938,1.17938,1.178,1.17806
1751335200,1.17806,1.17831,1.17783,1.17818
1751337000,1.17818,1.17895,1.1781,1.17881
1751338800,1.17881,1.17939,1.17875,1.17898
1751340600,1.17898,1.17929,1.17871,1.17895
1751342400,1.17895,1.17938,1.17865,1.17906
1751344200,1.17906,1.17909,1.17832,1.17862
